map_index,survey_number,lon,lat,tile_lon_center,tile_lat_center,tile_lon_min,tile_lat_min,tile_lon_max,tile_lat_max,min_lon,min_lat,max_lon,max_lat,method
95,120714150,-9.32100341,38.65816256,-9.175004005432129,38.67500305175781,-9.200003623962402,38.650001525878906,-9.150003433227539,38.70000457763672,-9.38898632,38.61252426,-9.15823409,38.6941875,1D
96,120714150,-9.29193459,38.68376263,-9.175004005432129,38.67500305175781,-9.200003623962402,38.650001525878906,-9.150003433227539,38.70000457763672,-9.38898632,38.61252426,-9.15823409,38.6941875,1D
97,120714150,-9.35468422,38.63488267,-9.175004005432129,38.67500305175781,-9.200003623962402,38.650001525878906,-9.150003433227539,38.70000457763672,-9.38898632,38.61252426,-9.15823409,38.6941875,1D
98,120714150,-9.2024357,38.68843101,-9.175004005432129,38.67500305175781,-9.200003623962402,38.650001525878906,-9.150003433227539,38.70000457763672,-9.38898632,38.61252426,-9.15823409,38.6941875,1D
99,120714150,-9.15823409,38.6941875,-9.175004005432129,38.67500305175781,-9.200003623962402,38.650001525878906,-9.150003433227539,38.70000457763672,-9.38898632,38.61252426,-9.15823409,38.6941875,1D
100,120714150,-9.24710301,38.68520938,-9.175004005432129,38.67500305175781,-9.200003623962402,38.650001525878906,-9.150003433227539,38.70000457763672,-9.38898632,38.61252426,-9.15823409,38.6941875,1D
101,230819150,-13.98495392,38.30300694,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
102,230819150,-14.20862077,38.28714113,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
103,230819150,-14.25326075,38.28322403,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
104,230819150,-14.16394544,38.29077665,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
105,230819150,-14.11919756,38.29383442,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
